# Frequency_Hz,OptimalResistance_Ohm,MaxPower_W
1.000000000000000000e+03,1.456348477501244342e+05,1.567705472350256481e-24
1.026315789473684163e+03,1.456348477501244342e+05,1.817926669457376192e+04
1.052631578947368325e+03,1.456348477501244342e+05,1.962628559408922229e+04
1.078947368421052715e+03,1.456348477501244342e+05,2.114192267219236965e+04
1.105263157894736878e+03,1.456348477501244342e+05,2.272713328478813492e+04
1.131578947368421041e+03,1.456348477501244342e+05,2.438283882715297659e+04
1.157894736842105203e+03,1.456348477501244342e+05,2.610992806938874855e+04
1.184210526315789366e+03,1.456348477501244342e+05,2.790925844381857314e+04
1.210526315789473756e+03,1.456348477501244342e+05,2.978165728464594213e+04
1.236842105263157919e+03,1.151395399326448096e+05,3.175141250895198391e+04
1.263157894736842081e+03,1.151395399326448096e+05,3.385734628261684702e+04
1.289473684210526244e+03,1.151395399326448096e+05,3.604745338192147028e+04
1.315789473684210407e+03,1.151395399326448096e+05,3.832276706970989471e+04
1.342105263157894797e+03,1.151395399326448096e+05,4.068429123586420610e+04
1.368421052631578959e+03,1.151395399326448096e+05,4.313300130254042597e+04
1.394736842105263122e+03,1.151395399326448096e+05,4.566984510608384880e+04
1.421052631578947285e+03,1.151395399326448096e+05,4.829574375532338308e+04
1.447368421052631675e+03,1.151395399326448096e+05,5.101159246610264381e+04
1.473684210526315837e+03,1.151395399326448096e+05,5.381826137203886174e+04
1.500000000000000000e+03,1.151395399326448096e+05,5.671659631161182915e+04
