# Time_s,Displacement_m,Velocity_ms,Voltage_V,Current_A,Power_W,Energy_J
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.334444814938312572e-04,-1.549319542785072455e-09,-1.393183581989403203e-05,7.633114298902823587e-04,-6.965917909947016016e-06,1.036104431421478559e-10,3.454833049087957771e-14
6.668889629876625143e-04,-1.233850574122067981e-08,-5.525343857267789739e-05,5.990247857885852394e-03,-2.762671928633894869e-05,6.381012348107236220e-09,2.162261684311231544e-12
1.000333444481493663e-03,-4.128622154001676734e-08,-1.225809171602422389e-04,1.975247489399736128e-02,-6.129045858012111946e-05,6.938139648654297583e-08,2.529710546108447914e-11
1.333777925975325029e-03,-9.673362580783293818e-08,-2.136986358759390475e-04,4.560594103409833233e-02,-1.068493179379695237e-04,3.698646648281841703e-07,1.486264368476080372e-10
1.667222407469156394e-03,-1.860913824095190205e-07,-3.256715918030327734e-04,8.645295432915278688e-02,-1.628357959015163867e-04,1.329106181145167668e-06,5.918095582698045633e-10
2.000666888962987326e-03,-3.157791354140735103e-07,-4.549200014202974072e-04,1.445374463027360168e-01,-2.274600007101487036e-04,3.715016565187485935e-06,1.830561330589739725e-09
2.334111370456818692e-03,-4.909554167169914645e-07,-5.973953456806168575e-04,2.213692794786463747e-01,-2.986976728403084288e-04,8.714344065022674874e-06,4.736311268910071077e-09
2.667555851950650057e-03,-7.152296776647387771e-07,-7.487128673169371387e-04,3.176250835668091854e-01,-3.743564336584685693e-04,1.794029518934489256e-05,1.071840369616745391e-08
3.001000333444481423e-03,-9.906033394881374959e-07,-9.043532359309564049e-04,4.331868032732121288e-01,-4.521766179654782025e-04,3.336955655296112549e-05,2.184529817864865239e-08
3.334444814938312789e-03,-1.317845082039526540e-06,-1.059479743372321271e-03,5.672664001399242428e-01,-5.297398716861606354e-04,5.722346096808451536e-05,4.092614545043409069e-08
