# Time_s,Displacement_m,Velocity_ms,Voltage_V,Current_A,Power_W,Energy_J
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000400080016003206e-04,-1.737618800582172065e-09,-9.491281776023725435e-07,8.676403079072313217e-04,-4.745640888011862718e-07,7.527997039053551555e-12,7.529502939641480113e-16
4.000800160032006413e-04,-5.875266348448271410e-09,-4.746713692121669255e-05,2.933084498547105373e-03,-2.373356846060834628e-05,8.602984675617324522e-11,1.011060620466896824e-14
6.001200240048009619e-04,-1.092366950637311356e-08,-5.729398271807901972e-05,5.448680997892181230e-03,-2.864699135903950986e-05,2.968812461679133947e-10,4.840937525088687787e-14
8.001600320064012825e-04,-1.820670981611720295e-08,-1.931209179580301193e-05,9.075106901776968521e-03,-9.656045897901505964e-06,8.235756527867997343e-10,1.604774787670614104e-13
1.000200040008001603e-03,-1.419691307738069331e-08,6.653412085193326176e-05,7.052417700741916810e-03,3.326706042596663088e-05,4.973659542573790452e-10,2.925980635884435467e-13
1.200240048009601924e-03,-3.074995604956737208e-09,4.922817215739876660e-05,1.482651778778991793e-03,2.461408607869938330e-05,2.198256297116508576e-11,3.445433043594521581e-13
1.400280056011202244e-03,5.292380660027511120e-09,4.871529891870043081e-05,-2.699720964338283777e-03,2.435764945935021541e-05,7.288493285287633372e-11,3.540319516713186517e-13
1.600320064012802565e-03,1.237634279067501547e-08,2.533890096603678250e-05,-6.232189864764065002e-03,1.266945048301839125e-05,3.884019051046793758e-10,4.001698630493498316e-13
1.800360072014402886e-03,1.336460151001816432e-08,-5.005281622001478197e-05,-6.712069084690578530e-03,-2.502640811000739099e-05,4.505187139765902002e-10,4.840787067262121333e-13
2.000400080016003206e-03,5.662478016677709660e-10,-5.326883578333860026e-05,-3.055608816959418106e-04,-2.663441789166930013e-05,9.336745242280134843e-13,5.292329764302347181e-13
2.200440088017603310e-03,-7.567308740222185026e-09,-4.895835982540747432e-05,3.757235805710898435e-03,-2.447917991270373716e-05,1.411682089971602459e-10,5.434460073885652300e-13
2.400480096019203848e-03,-2.367385864446800420e-08,-1.095153451090912042e-04,1.179570722958346932e-02,-5.475767255454560211e-05,1.391387090460477336e-09,6.967321945717658259e-13
2.600520104020804385e-03,-5.041852912420542575e-08,-1.445489038300834886e-04,2.513188826746519042e-02,-7.227445191504174428e-05,6.316118078883545259e-09,1.467636892445743796e-12
2.800560112022404489e-03,-8.607774990906552523e-08,-1.837389482011425438e-04,4.289435260681818268e-02,-9.186947410057127192e-05,1.839925485558049875e-08,3.939668592232102684e-12
3.000600120024004593e-03,-1.193989452446799011e-07,-1.275585266167173295e-04,5.945176770458152765e-02,-6.377926330835866477e-05,3.534512683199523085e-08,9.315181863643952176e-12
3.200640128025605130e-03,-1.422106913869408691e-07,-4.750099957525453381e-05,7.072578319543786074e-02,-2.375049978762726690e-05,5.002136408608080714e-08,1.785353862680419551e-11
3.400680136027205668e-03,-1.583980687566814467e-07,-8.942664221096922579e-05,7.867077758515327035e-02,-4.471332110548461290e-05,6.189091245852653558e-08,2.904700497453449095e-11
3.600720144028805771e-03,-1.739914305142315954e-07,-3.527692138064715202e-05,8.630150222026075624e-02,-1.763846069032357601e-05,7.447949285473672457e-08,4.268677345955780727e-11
3.800760152030405875e-03,-1.684206982642919211e-07,8.474330515101519948e-05,8.334475988382343548e-02,4.237165257550759974e-05,6.946349000092184520e-08,5.708395118066786942e-11
4.000800160032006413e-03,-1.570651962633916251e-07,5.115045289184045447e-05,7.750705479752448279e-02,2.557522644592022723e-05,6.007343543386462322e-08,7.004023498090657563e-11
4.200840168033606950e-03,-1.497623758387670423e-07,1.680977627241299620e-05,7.370448501674241315e-02,8.404888136206498101e-06,5.432351111583207009e-08,8.148221803248657524e-11
4.400880176035206620e-03,-1.494904246378550640e-07,-4.236163847316229614e-06,7.342216110805176166e-02,-2.118081923658114807e-06,5.390813741776708798e-08,9.230754795183032172e-11
4.600920184036807158e-03,-1.457981789965953846e-07,9.254582260412465809e-05,7.142937056207096513e-02,4.627291130206232905e-05,5.102154978893650294e-08,1.028026156860475350e-10
4.800960192038407695e-03,-1.338400370340432480e-07,5.468918201590234788e-05,6.531401118779026072e-02,2.734459100795117394e-05,4.265920057438790689e-08,1.121725647121852068e-10
5.001000200040008233e-03,-1.286727758870382947e-07,-4.851861804776760569e-08,6.260341089271630188e-02,-2.425930902388380285e-08,3.919187055402270050e-08,1.203593091739186208e-10
5.201040208041608770e-03,-1.296367973853427265e-07,2.857969816725417845e-05,6.295942750802398236e-02,1.428984908362708922e-05,3.963889512138126864e-08,1.282439626721586817e-10
5.401080216043208440e-03,-1.215685891876777117e-07,8.147418534967968220e-05,5.880261317869180104e-02,4.073709267483984110e-05,3.457747316642858813e-08,1.356670841252302643e-10
5.601120224044808978e-03,-1.004463956503492649e-07,1.295488735544730885e-04,4.813353587459719141e-02,6.477443677723654424e-05,2.316837275791134557e-08,1.414428238656123409e-10
5.801160232046409515e-03,-6.551806746625842745e-08,1.978753676583507298e-04,3.058886365677366409e-02,9.893768382917536488e-05,9.356785798126886119e-09,1.446959903545139463e-10
6.001200240048009185e-03,-2.207065200496320393e-08,2.515191075701368414e-04,8.824570444961845478e-03,1.257595537850684207e-04,7.787304353809410039e-10,1.457097447287395678e-10
6.201240248049609723e-03,1.220711623142310291e-08,1.232637001852031138e-04,-8.312870504191334498e-03,6.163185009260155691e-05,6.910381601945429506e-10,1.458567509895492897e-10
6.401280256051210260e-03,3.291930112701888214e-08,9.702998047623478408e-05,-1.864167573278869075e-02,4.851499023811739204e-05,3.475120741264427745e-09,1.462734502195411959e-10
6.601320264052810798e-03,5.321668067029291520e-08,1.115660794936355871e-04,-2.874319532290756096e-02,5.578303974681779356e-05,8.261712773708151150e-09,1.474473683546654730e-10
6.801360272054411335e-03,7.383283527904843381e-08,9.221227009569933685e-05,-3.898376443305798245e-02,4.610613504784966842e-05,1.519733889372156435e-08,1.497937427962967732e-10
7.001400280056011005e-03,9.505216412325710682e-08,1.347169294978243332e-04,-4.950557106392695916e-02,6.735846474891216660e-05,2.450801566365521933e-08,1.537650725179787689e-10
7.201440288057611543e-03,1.199616849077574450e-07,1.150933778653803470e-04,-6.184807566525581113e-02,5.754668893269017350e-05,3.825184463495207749e-08,1.600423139961351298e-10
7.401480296059212080e-03,1.419269182671867672e-07,9.386455326289186137e-05,-7.269540266363223868e-02,4.693227663144593068e-05,5.284621568427629559e-08,1.691539423537294874e-10
7.601520304060811750e-03,1.624963404060791264e-07,1.381658297830575216e-04,-8.282577637398702564e-02,6.908291489152876079e-05,6.860109231953707430e-08,1.813011025861572812e-10
7.801560312062412288e-03,1.905798043158154472e-07,1.398099369350759536e-04,-9.668829012523613708e-02,6.990496846753797681e-05,9.348625447341836329e-08,1.975130796608677806e-10
8.001600320064012825e-03,2.056003667111535818e-07,6.001829141886730259e-05,-1.039969606868374336e-01,3.000914570943365129e-05,1.081536783209961057e-07,2.176811065456862131e-10
8.201640328065612495e-03,2.185013643691724304e-07,6.133925694866497165e-05,-1.102332806044779706e-01,3.066962847433248583e-05,1.215137615282557954e-07,2.406524447982618415e-10
8.401680336067213900e-03,2.313686358338015894e-07,4.182391170724130753e-05,-1.164398091858546563e-01,2.091195585362065377e-05,1.355822916323824100e-07,2.663671930639789648e-10
8.601720344068813570e-03,2.487145891976959864e-07,1.378701968503407761e-04,-1.248731755692989998e-01,6.893509842517038804e-05,1.559330997676097243e-07,2.955245636781009090e-10
8.801760352070413240e-03,2.872649231523077574e-07,2.505946046173900422e-04,-1.438810678145488187e-01,1.252973023086950211e-04,2.070176167545479522e-07,3.318268957967402662e-10
9.001800360072014645e-03,3.379496613095574747e-07,2.018825782180279447e-04,-1.689095441819908894e-01,1.009412891090139723e-04,2.853043411576793301e-07,3.810689399968032484e-10
9.201840368073614315e-03,3.766340096195218985e-07,1.581583097990169105e-04,-1.878934741780404483e-01,7.907915489950845527e-05,3.530395763869395667e-07,4.449161011835022558e-10
9.401880376075215720e-03,3.977538639340995784e-07,4.932385313814073509e-05,-1.980647192669394707e-01,2.466192656907036755e-05,3.922963301829154021e-07,5.194646015405595789e-10
9.601920384076815390e-03,4.014953321881867355e-07,3.269560400237143824e-05,-1.995375770597835885e-01,1.634780200118571912e-05,3.981524465888907435e-07,5.985252913557030203e-10
9.801960392078415060e-03,4.086618773059321944e-07,-1.048717768092832320e-05,-2.027178977739545473e-01,-5.243588840464161600e-06,4.109454607789148811e-07,6.794512672876697436e-10
1.000200040008001647e-02,4.075360387296574041e-07,3.427497745823965763e-05,-2.017515308929477558e-01,1.713748872911982881e-05,4.070368021764804960e-07,7.612658565010524396e-10
1.020204040808161614e-02,4.088500232117377912e-07,-9.873254472917330753e-06,-2.020034809634219386e-01,-4.936627236458665376e-06,4.080540632133956830e-07,8.427912481183632788e-10
1.040208041608321754e-02,4.092785518110198666e-07,9.682980699765034920e-06,-2.018140694097171894e-01,4.841490349882517460e-06,4.072891861171015123e-07,9.243418831784254094e-10
1.060212042408481721e-02,4.000364893797862238e-07,-4.375749254312021649e-05,-1.967932127953128940e-01,-2.187874627156010824e-05,3.872756860230130172e-07,1.003814264868774770e-09
1.080216043208641688e-02,3.841161868983538890e-07,-1.297188245820992910e-04,-1.884459287427301399e-01,-6.485941229104964551e-05,3.551186805971012605e-07,1.078068552388289769e-09
1.100220044008801829e-02,3.455600995077551911e-07,-1.803683234143917623e-04,-1.688101198001535908e-01,-9.018416170719588116e-05,2.849685654694220852e-07,1.142090081300724843e-09
1.120224044808961796e-02,3.050150408724669856e-07,-1.824118004900169361e-04,-1.482208811703323859e-01,-9.120590024500846806e-05,2.196942961490979126e-07,1.192566462738864385e-09
1.140228045609121763e-02,2.724815638704084831e-07,-1.577150947343834546e-04,-1.316750234051320134e-01,-7.885754736719172728e-05,1.733831178874206287e-07,1.231882067263421017e-09
1.160232046409281903e-02,2.306622611450357557e-07,-2.487577586481685954e-04,-1.105217284445573350e-01,-1.243788793240842977e-04,1.221505245837247487e-07,1.261441343365756256e-09
1.180236047209441870e-02,1.808244763132086282e-07,-2.628355040778564415e-04,-8.540669027724488716e-02,-1.314177520389282208e-04,7.294302744113236219e-08,1.280954601219812670e-09
1.200240048009601837e-02,1.324199581506509742e-07,-2.369356933594007311e-04,-6.105838531260537189e-02,-1.184678466797003656e-04,3.728126416982583724e-08,1.291979235307725998e-09
1.220244048809761978e-02,7.002334020711291649e-08,-3.029006964302084141e-04,-2.976815495480673174e-02,-1.514503482151042071e-04,8.861430494133845849e-09,1.296594427812622874e-09
1.240248049609921945e-02,1.792130039915940113e-08,-2.547458120384883868e-04,-3.685043669367421559e-03,-1.273729060192441934e-04,1.357954684514491028e-10,1.297494330389396813e-09
1.260252050410082085e-02,-2.566547642640036411e-08,-2.019623474623245124e-04,1.809308562406936050e-02,-1.009811737311622562e-04,3.273597473999053524e-09,1.297835337885140980e-09
1.280256051210242052e-02,-6.058171192188556972e-08,-1.448019979015019215e-04,3.549748239602257271e-02,-7.240099895075096075e-05,1.260071256455932342e-08,1.299423086438707627e-09
1.300260052010402019e-02,-8.890459252804122936e-08,-1.026382693300231975e-04,4.957321911947337040e-02,-5.131913466501159877e-05,2.457504053867319970e-08,1.303141405412825643e-09
1.320264052810562160e-02,-1.000353929420842860e-07,-1.430772412941239493e-05,5.503270413770645214e-02,-7.153862064706197467e-06,3.028598524708332487e-08,1.308628605431405035e-09
1.340268053610722127e-02,-1.060568668558153538e-07,-1.035741331224666715e-05,5.793028619778527177e-02,-5.178706656123333577e-06,3.355918058957310807e-08,1.315014399173819188e-09
1.360272054410882267e-02,-1.106325738870215927e-07,-1.953560734612107654e-05,6.009974026282544762e-02,-9.767803673060538271e-06,3.611978779659082179e-08,1.321983689870574892e-09
1.380276055211042234e-02,-1.187021206791832159e-07,-4.843916111635806316e-05,6.401088288616520183e-02,-2.421958055817903158e-05,4.097393127866357070e-08,1.329694603960918385e-09
1.400280056011202201e-02,-1.357017557221390156e-07,-1.157727106275887311e-04,7.237558181759176645e-02,-5.788635531379436556e-05,5.238224843434919631e-08,1.339032089429313290e-09
1.420284056811362342e-02,-1.618212696892564378e-07,-1.550319239534208259e-04,8.527760713903283218e-02,-7.751596197671041294e-05,7.272270279359223546e-08,1.351545087151651948e-09
1.440288057611522309e-02,-1.889246624131515142e-07,-9.395075975796936707e-05,9.864407982223788451e-02,-4.697537987898468354e-05,9.730654483976040109e-08,1.368551413180192923e-09
1.460292058411682276e-02,-2.061103865433366770e-07,-5.620425600469876912e-05,1.070307914413630018e-01,-2.810212800234938456e-05,1.145559031656454347e-07,1.389741896077312859e-09
1.480296059211842416e-02,-2.117438713424850422e-07,2.634625498076348778e-05,1.096298886393094890e-01,1.317312749038174389e-05,1.201871248306740040e-07,1.413220894676664779e-09
1.500300060012002383e-02,-2.091906917599319944e-07,3.456063539589333822e-05,1.081357603097224673e-01,1.728031769794666911e-05,1.169334265776174845e-07,1.436937693177193961e-09
